Timestamp,x,y,z,q1,q2,q3,q4
2.02427,0.076888,-0.017987,0.231608,0.99997,-0.007681,0.001197,-0.000484
2.04425,0.076896,-0.017987,0.23163,0.99997,-0.007665,0.00109,-0.000737
2.06427,0.076903,-0.017988,0.23166,0.999969,-0.007735,0.000996,-0.000735
2.08428,0.076892,-0.017991,0.231619,0.999969,-0.007732,0.001008,-0.000475
2.10428,0.076915,-0.017992,0.231695,0.99997,-0.00771,0.000709,-0.000852
2.12427,0.076901,-0.017991,0.231655,0.99997,-0.007638,0.000994,-0.000724
2.14431,0.076888,-0.01799,0.231601,0.99997,-0.007674,0.001295,-0.000383
2.1643,0.076911,-0.017995,0.231692,0.999969,-0.007793,0.000744,-0.00064
2.18429,0.076914,-0.017994,0.231681,0.999971,-0.007585,0.000951,-0.000428
2.2043,0.076893,-0.01799,0.231634,0.999969,-0.007701,0.000988,-0.000934
2.22428,0.07691,-0.017996,0.231682,0.99997,-0.007631,0.000819,-0.000445
2.24427,0.076901,-0.017991,0.231653,0.999969,-0.007805,0.000929,-0.001055
2.26429,0.076907,-0.017996,0.231668,0.99997,-0.007673,0.001124,-0.00064
2.28427,0.076899,-0.017986,0.231638,0.999969,-0.007737,0.001169,-0.000676
2.30426,0.076907,-0.017993,0.231676,0.999969,-0.007774,0.000817,-0.000736
2.32426,0.07691,-0.01799,0.231678,0.999969,-0.007736,0.000756,-0.000966
2.34426,0.076916,-0.017996,0.231695,0.999968,-0.00789,0.000775,-0.001099
2.36427,0.076916,-0.017995,0.231707,0.999969,-0.007768,0.000454,-0.000816
2.38429,0.076915,-0.01799,0.231685,0.999969,-0.007777,0.000912,-0.001083
2.4043,0.076911,-0.017993,0.231695,0.999969,-0.007803,0.000523,-0.000959
2.42431,0.076951,-0.018045,0.231798,0.999971,-0.007646,1.7e-05,-0.000583
2.44431,0.076871,-0.017968,0.231583,0.999964,-0.008081,0.001449,-0.00219
2.4643,0.076894,-0.017928,0.23164,0.999967,-0.007858,0.001076,-0.001756
