Timestamp,fx,fy,fz,mx,my,mz
0.898869,0.032276,0.179947,-3.03659,-0.352591,0.281293,-0.002108
0.899871,0.031668,0.189772,-2.88099,-0.352691,0.28099,-0.00336
0.900873,0.032302,0.189717,-2.9442,-0.352688,0.280996,-0.00245
0.901874,0.04084,0.185274,-3.13186,-0.352704,0.280964,-0.000467
0.902873,0.056288,0.184719,-3.33025,-0.352527,0.280983,0.001612
0.903869,0.058205,0.183537,-3.56964,-0.352521,0.281199,0.003978
0.904872,0.066141,0.177998,-3.72558,-0.352386,0.281452,0.005338
0.905874,0.051819,0.185978,-3.64162,-0.352504,0.281638,0.004341
0.906876,0.04263,0.190842,-3.4441,-0.352325,0.281577,0.002366
0.907874,0.034199,0.178894,-3.24563,-0.352586,0.281504,0.000284
0.908871,0.024801,0.183819,-3.01693,-0.352409,0.28144,-0.001987
0.909873,0.023952,0.194336,-2.87142,-0.352503,0.28095,-0.003245
0.910876,0.024499,0.186943,-2.9337,-0.352712,0.280666,-0.002544
0.91189,0.040566,0.187118,-3.11046,-0.352852,0.280485,-0.000762
0.912882,0.049754,0.182255,-3.30798,-0.353031,0.280545,0.001214
0.91388,0.050779,0.182186,-3.5476,-0.352857,0.280481,0.003581
0.914872,0.051187,0.172029,-3.71444,-0.352598,0.280882,0.005141
0.915873,0.050398,0.180113,-3.66226,-0.352384,0.280979,0.004434
0.916879,0.034156,0.178847,-3.4858,-0.352091,0.281447,0.002645
0.917879,0.032536,0.187305,-3.27853,-0.351883,0.281526,0.000784
0.918862,0.024205,0.192208,-3.04928,-0.352027,0.281454,-0.001481
0.919872,0.023334,0.193605,-2.89305,-0.352186,0.281149,-0.002949
0.920868,0.031234,0.189739,-2.94474,-0.352367,0.281004,-0.002455
0.921864,0.033713,0.181321,-3.12028,-0.352897,0.280914,-0.000884
0.922857,0.042708,0.185509,-3.32768,-0.353012,0.28079,0.000981
0.923862,0.04543,0.175878,-3.56589,-0.353386,0.280994,0.003136
0.924868,0.046254,0.16612,-3.72234,-0.353285,0.281296,0.004709
0.925863,0.045055,0.173934,-3.65021,-0.352914,0.281488,0.004016
0.926859,0.036533,0.178112,-3.47462,-0.352738,0.281619,0.002662
