Timestamp,fx,fy,fz,mx,my,mz
2.42694,0.303645,-1.04634,-3.76853,-0.128419,0.253161,-0.035591
2.42795,0.347959,-0.994706,-3.7731,-0.151028,0.264583,-0.042763
2.42895,0.3682,-0.88234,-3.62852,-0.167916,0.264049,-0.047801
2.42994,0.287899,-0.856876,-3.49022,-0.17501,0.254199,-0.033082
2.43094,0.136089,-0.949019,-3.39035,-0.169778,0.237403,0.000108
2.43194,-0.079108,-1.09317,-3.12472,-0.152096,0.212394,0.020246
2.43295,-0.162181,-1.28771,-2.91229,-0.128254,0.177636,0.029821
2.43394,-0.022779,-1.39945,-2.98503,-0.101119,0.14233,0.025944
2.43494,0.144632,-1.44351,-3.25371,-0.071398,0.107907,0.006116
2.43594,0.310458,-1.36959,-3.41435,-0.041332,0.072682,-0.00842
2.43695,0.433355,-1.38854,-3.74371,-0.018044,0.045233,-0.001035
2.43794,0.537367,-1.44617,-4.41066,-0.005803,0.031601,0.006164
2.43894,0.604155,-1.40891,-5.10806,-0.003859,0.031818,0.004048
2.43994,0.672685,-1.46375,-5.33648,-0.010472,0.041945,0.001882
2.44095,0.580115,-1.48746,-5.49515,-0.019061,0.059595,-0.006478
2.44195,0.457403,-1.52693,-5.3594,-0.036164,0.090011,-0.017932
2.44294,0.354257,-1.41497,-4.96063,-0.054613,0.124653,-0.012723
2.44394,0.278463,-1.38079,-4.41867,-0.073276,0.157909,-0.004083
2.44496,0.137806,-1.19594,-3.83188,-0.091082,0.188888,-0.004867
2.44595,0.07,-1.02027,-3.37591,-0.109866,0.215912,-0.013003
2.44694,0.048467,-0.968042,-2.99103,-0.13077,0.235094,-0.027243
2.44798,0.112621,-0.819581,-2.83872,-0.146909,0.245249,-0.040329
2.44898,0.20747,-0.675529,-2.76893,-0.157576,0.247033,-0.028816
2.44998,0.299058,-0.817791,-2.99723,-0.164444,0.239996,-0.002729
2.45098,0.236482,-1.01019,-3.35919,-0.163708,0.225419,0.011836
2.45197,0.090005,-1.17712,-3.52333,-0.15224,0.202226,0.014083
2.45298,0.142789,-1.22412,-3.72221,-0.128721,0.178562,0.009945
2.45399,0.331072,-1.24969,-3.88518,-0.100312,0.150795,0.000558
2.45498,0.60211,-1.13402,-4.00637,-0.070858,0.120224,-0.00186
2.45598,0.906631,-1.0403,-4.21301,-0.044427,0.094801,0.010637
2.45698,1.04026,-1.05567,-4.70356,-0.022231,0.076199,0.021661
2.45798,1.00513,-1.00979,-5.05025,-0.007275,0.068034,0.024792
2.45898,0.959223,-1.13333,-5.02623,-0.00528,0.067332,0.017986
2.45998,0.825232,-1.30902,-5.28609,-0.012706,0.078121,-0.002684
2.46099,0.611864,-1.35548,-5.14795,-0.028938,0.096148,-0.022478
2.46198,0.406241,-1.30654,-4.80157,-0.047717,0.117801,-0.023293
2.46298,0.303029,-1.25442,-4.17386,-0.072217,0.14156,-0.023489
2.46398,0.103797,-1.05951,-3.62535,-0.099145,0.168438,-0.030333
2.46498,0.111303,-0.909773,-2.99528,-0.125787,0.188768,-0.037497
2.46598,0.213072,-0.754021,-2.40951,-0.147662,0.203009,-0.042238
2.46698,0.433677,-0.604826,-2.34923,-0.161603,0.212216,-0.037205
2.46798,0.696948,-0.425345,-2.57296,-0.169332,0.214438,-0.012476
2.46899,0.937817,-0.400201,-2.82785,-0.170758,0.212566,0.016083
2.46998,1.06343,-0.534933,-3.34329,-0.1634,0.207244,0.029898
2.47098,1.1229,-0.684599,-3.84631,-0.145098,0.197472,0.020339
2.47198,1.36749,-0.84245,-4.19381,-0.119529,0.187015,-0.011183
2.47298,1.66012,-0.927901,-4.42492,-0.093751,0.175843,-0.04847
2.47398,1.95499,-0.798529,-4.61553,-0.067582,0.164297,-0.06998
2.47498,2.22539,-0.588734,-4.652,-0.043113,0.154129,-0.067725
2.47598,2.3769,-0.422649,-4.61254,-0.026094,0.146495,-0.054718
2.47698,2.47637,-0.304166,-4.76153,-0.0194,0.143622,-0.036749
2.47796,2.56693,-0.175385,-4.8544,-0.026147,0.144227,-0.019851
2.47895,2.58872,-0.166049,-4.8708,-0.045999,0.148278,-0.00835
2.47995,2.5297,-0.15177,-4.82724,-0.073909,0.156307,-0.002935
2.48095,2.36916,-0.09073,-4.57541,-0.103651,0.168196,0.005454
2.48195,2.37449,0.017284,-4.15295,-0.128153,0.179505,0.014785
2.48295,2.47399,0.277685,-3.64426,-0.153627,0.193917,0.015007
